country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
China,Asia,1952,44.0,556263527,400.448611,CHN,156
China,Asia,1957,50.54896,637408000,575.9870009,CHN,156
China,Asia,1962,44.50136,665770000,487.6740183,CHN,156
China,Asia,1967,58.38112,754550000,612.7056934,CHN,156
China,Asia,1972,63.11888,862030000,676.9000921,CHN,156
China,Asia,1977,63.96736,943455000,741.2374699,CHN,156
China,Asia,1982,65.525,1000281000,962.4213805,CHN,156
China,Asia,1987,67.274,1084035000,1378.904018,CHN,156
China,Asia,1992,68.69,1164970000,1655.784158,CHN,156
China,Asia,1997,70.426,1230075000,2289.234136,CHN,156
China,Asia,2002,72.028,1280400000,3119.280896,CHN,156
China,Asia,2007,72.961,1318683096,4959.114854,CHN,156
Germany,Europe,1952,67.5,69145952,7144.114393000002,DEU,276
Germany,Europe,1957,69.1,71019069,10187.82665,DEU,276
Germany,Europe,1962,70.3,73739117,12902.46291,DEU,276
Germany,Europe,1967,70.8,76368453,14745.62561,DEU,276
Germany,Europe,1972,71.0,78717088,18016.18027,DEU,276
Germany,Europe,1977,72.5,78160773,20512.92123,DEU,276
Germany,Europe,1982,73.8,78335266,22031.53274,DEU,276
Germany,Europe,1987,74.847,77718298,24639.18566,DEU,276
Germany,Europe,1992,76.07,80597764,26505.30317,DEU,276
Germany,Europe,1997,77.34,82011073,27788.88416,DEU,276
Germany,Europe,2002,78.67,82350671,30035.80198,DEU,276
Germany,Europe,2007,79.406,82400996,32170.37442,DEU,276
India,Asia,1952,37.37300000000001,372000000,546.5657493,IND,356
India,Asia,1957,40.249,409000000,590.061996,IND,356
India,Asia,1962,43.605,454000000,658.3471509,IND,356
India,Asia,1967,47.19300000000001,506000000,700.7706107000001,IND,356
India,Asia,1972,50.651,567000000,724.032527,IND,356
India,Asia,1977,54.208,634000000,813.3373230000002,IND,356
India,Asia,1982,56.596,708000000,855.7235377000002,IND,356
India,Asia,1987,58.553,788000000,976.5126756,IND,356
India,Asia,1992,60.223,872000000,1164.406809,IND,356
India,Asia,1997,61.765,959000000,1458.817442,IND,356
India,Asia,2002,62.879,1034172547,1746.769454,IND,356
India,Asia,2007,64.69800000000001,1110396331,2452.210407,IND,356
Japan,Asia,1952,63.03,86459025,3216.956347,JPN,392
Japan,Asia,1957,65.5,91563009,4317.694365,JPN,392
Japan,Asia,1962,68.73,95831757,6576.649461,JPN,392
Japan,Asia,1967,71.43,100825279,9847.788607,JPN,392
Japan,Asia,1972,73.42,107188273,14778.78636,JPN,392
Japan,Asia,1977,75.38,113872473,16610.37701,JPN,392
Japan,Asia,1982,77.11,118454974,19384.10571,JPN,392
Japan,Asia,1987,78.67,122091325,22375.94189,JPN,392
Japan,Asia,1992,79.36,124329269,26824.89511,JPN,392
Japan,Asia,1997,80.69,125956499,28816.58499,JPN,392
Japan,Asia,2002,82.0,127065841,28604.5919,JPN,392
Japan,Asia,2007,82.603,127467972,31656.06806,JPN,392
United States,Americas,1952,68.44,157553000,13990.482080000002,USA,840
United States,Americas,1957,69.49,171984000,14847.12712,USA,840
United States,Americas,1962,70.21,186538000,16173.14586,USA,840
United States,Americas,1967,70.76,198712000,19530.36557,USA,840
United States,Americas,1972,71.34,209896000,21806.03594,USA,840
United States,Americas,1977,73.38,220239000,24072.63213,USA,840
United States,Americas,1982,74.65,232187835,25009.55914,USA,840
United States,Americas,1987,75.02,242803533,29884.350410000006,USA,840
United States,Americas,1992,76.09,256894189,32003.93224,USA,840
United States,Americas,1997,76.81,272911760,35767.43303,USA,840
United States,Americas,2002,77.31,287675526,39097.09955,USA,840
United States,Americas,2007,78.242,301139947,42951.65309,USA,840
